新闻日期,新闻标题,新闻来源,原文链接
2023-04-27 16:16:18,“卷味”的车展，人工智能是不是受益者,投资者研究中心,https://mp.weixin.qq.com/s?__biz=MzUyOTA2MDMzOQ==&chksm=fa6478e4cd13f1f2badb380b6905a10aa8159ee6dff641519926b97aed5758ed2a700890fdc5&idx=1&mid=2247491704&sn=1f07560b0127cecd6237bc56f22252ad
2023-04-27 15:07:10,收评：沪指震荡反弹收涨0.64%，医药板块全面爆发，人工智能概念午后掀起跌停潮,金融界,http://stock.jrj.com.cn/2023/04/27150237512959.shtml
2023-04-27 14:47:22,浩瀚深度应邀参加民生证券股份有限公司举办的国内资本市场最高规格人工智能盛会,浩瀚深度官网,https://www.haohandata.com/news/1003.html
2023-04-27 14:45:19,奥雅股份：公司一直积极拥抱人工智能，今年计划推出“LAEngine”,界面,https://www.jiemian.com/article/9319228.html
2023-04-27 14:35:42,美国监管机构：现行法律没有“人工智能豁免”,DoNews,https://www.donews.com/news/detail/8/3477546.html
2023-04-27 14:32:34,《济南市人工智能产业地图2.0》发布 全市人工智能核心产业规模达到271亿元,鲁网,http://jinan.sdnews.com.cn/sz/202304/t20230427_4224871.htm
2023-04-27 14:32:23,民生证券胡又文：人工智能已进入应用井喷临界点，上中下游投资机会巨大,界面,https://www.jiemian.com/article/9317733.html
2023-04-27 11:42:21,麻省理工团队提出人工智能边缘计算芯片用于自动驾驶和图像识别,安防知识网,https://www.asmag.com.cn/news/202304/111865.html
2023-04-27 11:41:19,人工智能集群核心算法技术发展研讨会暨集群核心算法邀请赛圆满举办,中关村在线,https://news.zol.com.cn/816/8168491.html
2023-04-27 11:40:11,中科曙光领跌，人工智能ETF今日盘中震荡已跌0.91%,界面,https://www.jiemian.com/article/9317931.html
2023-04-27 11:36:25,LR：人工智能(AI)推动数据中心投资,讯石光通讯网,http://www.iccsz.com/site/cn/News/2023/04/27/20230427033358800290.htm
2023-04-27 11:14:23,用AI辨鹰鸽 摩根大通创建人工智能模型分析美联储政策动向,智通财经,https://www.zhitongcaijing.com/content/detail/920672.html
2023-04-27 10:31:53,福建人工智能计算中心揭牌，总体规划建设算力400P,集微网,https://laoyaoba.com/n/858832
2023-04-27 10:04:59,美国执法机构寻求在贷款、住房和招聘等领域打击人工智能偏见,界面,https://www.jiemian.com/article/9316836.html
2023-04-27 09:58:42,和而泰涨超9%，人工智能ETF今日持续上涨已达1.02%,界面,https://www.jiemian.com/article/9316794.html
2023-04-27 09:22:58,大模型时代到来，赋能人工智能产业高质量发展,中国经济网,http://www.ce.cn/cysc/tech/gd2012/202304/27/t20230427_38522333.shtml
2023-04-27 09:02:11,趋动云荣获“智慧高校人工智能教学科研应用卓越奖”,趋动科技,https://mp.weixin.qq.com/s?__biz=MzI2NDY4MzcyMQ==&chksm=eaa9bf33ddde362544301556f4c8219ee114fc1db7d8ced94debc508f488894f5ddc08780698&idx=1&mid=2247489173&sn=9afc82d31587a657c956309b9589d559
2023-04-27 08:55:41,中国企业领跑人工智能专利领域,北京日报,https://bj.bjd.com.cn/5b165687a010550e5ddc0e6a/contentShare/5c27294de4b06597cc7d1999/AP6449c7e5e4b0017157a53a9c.html
2023-04-27 08:17:57,巨头相继布局人形机器人 机器人或将成为人工智能的核心载体,科创板日报,https://www.chinastarmarket.cn/detail/1335607
2023-04-27 08:02:30,绿色发展、循环经济、人工智能：中国经济的三大转型建议（续上一篇）,藏金洞,https://mp.weixin.qq.com/s?__biz=MzkyNzI3MTY0NQ==&chksm=c2283f90f55fb686b31d395f0f748937ffc92d649f6e4bfb8eb9d6f63f7c43dd6512e1d5a98f&idx=1&mid=2247491618&sn=88386f1dc2531f8da756a186aef66f8a
2023-04-27 08:00:20,数字技术应用创新生态大会召开 福建人工智能计算中心上线,福州新闻网,https://news.fznews.com.cn/dsxw/20230427/Rn0Q69I61j.shtml
2023-04-27 07:31:01,新能源超跌反弹 人工智能震荡加剧,恒泰睿财,https://mp.weixin.qq.com/s?__biz=Mzg2NzAwNjc4Ng==&chksm=ce40248cf937ad9a0511c60a875a4773dc01bce46bf711e2273a23d7c70aa9402fe1fd037430&idx=1&mid=2247533729&sn=491c8e7d340237647b0742c7b6fec9a5
2023-04-27 06:03:04,新能源强势上涨，人工智能概念分化，创业板指率先反弹逼近2300点,大众证券报,https://mp.weixin.qq.com/s?__biz=MzIwMDE5Mzc4MQ==&chksm=8d75ef15ba026603769660216b77dda6ce4b5e634e4af77ccefc42bc7be21425b93b4f2875da&idx=1&mid=2650909839&sn=d2298b81c050f47aa502a5b92eeb67d8
2023-04-27 02:12:14,多国加快推进人工智能应用监管,经济参考报,http://dz.jjckb.cn/www/pages/webpage2009/html/2023-04/27/content_92135.htm
2023-04-26 22:28:08,民生证券召开人工智能高峰论坛 三六零周鸿祎等参会,证券时报网,https://qzs.stcn.com/article/detail/261696.html
2023-04-26 21:49:52,果麦文化：将结合人工智能技术在智能编校领域进行行业模型和应用层的探索研发,证券时报网,http://egs.stcn.com/news/detail/1421992.html
2023-04-26 21:33:23,新能源强势上涨 人工智能概念分化 创业板指率先反弹逼近2300点,大众证券报,http://www.dzzq.com.cn/bond/46443858.html
2023-04-26 21:27:12,华尔街仍青睐Alphabet(GOOGL.US) 人工智能成为焦点,智通财经,https://www.zhitongcaijing.com/content/detail/920140.html
2023-04-26 21:18:40,智库云科技集团受邀参加物联网与人工智能高峰论坛,中华网,https://tech.china.com/article/20230426/042023_1265136.html
2023-04-26 20:42:41,润和软件：2022年人工智能领域已实现千万级的收入,证券时报网,https://qzs.stcn.com/article/detail/261650.html
2023-04-26 18:31:41,山东(济南)人工智能岛建设启动,经济导报,http://jjdb.sdenews.com/jjdb/jjdb/content/20230426/Articel01005MT.htm
2023-04-26 18:06:42,谈及人工智能对电影的影响 黄建新认为要张开双臂迎接科技创新,中国日报网,https://cn.chinadaily.com.cn/a/202304/26/WS6448f624a310537989371d16.html
